CODGEO;CS1_1;CS1_2;CS1_3;CS1_4;CS1_5;CS1_6;CS1_7;CS1_8
71019;0;4.79166666666667;9.58333333333334;14.375;19.1666666666667;23.9583333333334;38.3333333333334;9.58333333333334
71020;16.2;0;5.4;10.8;16.2;0;27;10.8
71021;5.03424657534247;25.1712328767123;25.1712328767123;55.3767123287672;35.2397260273973;15.1027397260274;40.2739726027398;25.1712328767123
71022;5.40092919999436;28.8583292349691;24.3866196410965;37.6184448994119;80.1940534145281;94.3986692776201;247.61735605713;29.5414862591507
71023;29.9683210137275;34.9630411826821;24.9736008447729;119.87328405491;99.8944033790918;164.825765575501;169.820485744456;89.9049630411826
71024;10;50;15;35;55;55;175;35
71025;25.3809575661786;20.5576996612523;9.96279393855586;20.3923813848082;35.1797780157203;45.6081690209498;129.450938840203;44.6318433758605
71026;4.91235445441785;14.8394085681547;19.7849412275006;24.6295339770039;34.6259807659593;34.3876399809944;89.7493465471018;34.5575164135155
71027;4.69930761280242;4.69930761280242;9.39861522560484;98.6854598688508;93.9861522560484;126.881305545665;145.678535996875;56.391691353629
71028;0;0;0;0;16.9444444444444;33.8888888888889;39.537037037037;0
71029;0;14.2241379310345;4.74137931034483;28.448275862069;14.2241379310345;23.7068965517241;109.051724137931;23.7068965517241
71030;0;0;10.2882819794631;15.4324229691946;25.7207049486577;15.4324229691946;45.3402194211041;52.7573529411279
71031;0;0;0;5;10;0;15;0
71032;5.04561597108036;25.4111566350226;5.09130770045144;126.803497594831;91.3470080929525;81.0046242505151;161.30086804087;45.7539029270906
71033;15.0393199369771;31.0086240136779;31.1116472254403;134.575868057542;128.728484525382;128.578666510807;146.48516317615;46.4070062941552
71034;5;5;10;40;105;25;75;30
71035;9.85576923076924;9.85576923076924;9.85576923076924;34.4951923076923;9.85576923076924;64.0625000000001;34.4951923076923;9.85576923076924
71036;4.92857142857143;4.92857142857143;9.85714285714286;9.85714285714286;9.85714285714286;0;19.7142857142857;4.92857142857143
71037;4.94623655913978;4.94623655913978;4.94623655913978;4.94623655913978;9.89247311827956;9.89247311827956;24.7311827956989;4.94623655913978
71038;25.0454798587172;30.0082938251677;25.3455488554004;65.5280453824884;28.6089735594712;95.0898211749731;84.8863170731349;34.1042484178737
71039;14.3220338983051;19.0960451977401;9.54802259887006;4.77401129943503;9.54802259887006;38.1920903954802;52.5141242937853;4.77401129943503
71040;20.3298640759021;86.401922322584;228.296559093429;665.595842605559;726.378228953031;716.273541790943;2144.55406237764;784.580484230165
71041;0;5.05864731222574;10.1172946244515;5.05864731222574;5.05864731222574;25.2932365611287;130.203253534932;5.05864731222574
71042;0;10;14.6801746021466;14.7867830680978;34.3603492042933;44.3603492042933;188.548491115285;84.3901743960026
71043;0;0;0;0;15.7313847479775;15.7313847479775;36.7065644119475;10.487589831985
71044;10.1623376623377;5.08116883116883;5.08116883116883;10.1623376623377;20.3246753246753;66.0551948051948;137.191558441558;25.4058441558442
71045;0;0;5;20;15;35;55;15
71046;11.0611331559216;0;0;11.0611331559216;5.53056657796079;5.53056657796079;33.1257101954398;16.5628550977199
71047;34.0600037890136;144.834514668907;84.6843271066614;381.357491393207;609.606827787014;805.131161775117;1929.90307017114;371.040863260505
71048;9.83957219251336;19.6791443850267;9.83957219251336;9.83957219251336;9.83957219251336;19.6791443850267;68.8770053475935;19.6791443850267
71050;9.81483727550156;10.1626251049762;21.3932613559861;45.6402872159039;34.0501756023093;30.9079749433869;94.4349905345091;14.7452723970166
71051;0;5.30075187969925;5.30075187969925;10.6015037593985;21.203007518797;26.5037593984962;42.406015037594;26.5037593984962
71052;4.91053343067952;39.2842674454362;34.3737340147566;73.6580014601928;58.9264011681542;88.3896017522314;176.779203504463;91.2376831084971
71054;19.2024539877301;9.60122699386504;38.4049079754602;62.4079754601227;91.2116564417179;91.2116564417179;153.619631901841;67.2085889570553
71056;64.7647208687965;123.586873352924;29.8012148468285;143.550074720996;341.322791102773;366.88819289132;780.65069433926;133.990716046101
71057;9.84496124031008;4.92248062015504;4.92248062015504;4.92248062015504;24.6124031007752;4.92248062015504;44.3023255813954;4.92248062015504
71058;10.1081081081081;0;0;10.1081081081081;25.2702702702702;20.2162162162162;75.8108108108108;30.3243243243243
71059;24.9126731933332;80.1652913948232;165.050752929124;454.448822017925;429.662627572549;367.046573443039;1109.4069188474;478.273281600836
71060;4.95535714285714;19.8214285714286;9.91071428571428;14.8660714285714;4.95535714285714;19.8214285714286;97.1249999999999;14.8660714285714
71061;0;10;0;40;70;90;120;15
71062;20.4745762711864;0;15.3559322033898;35.8305084745763;20.4745762711864;15.3559322033898;102.372881355932;56.3050847457627
71063;0;9.9469923120254;19.8939846240508;69.6289461841778;64.6554500281651;94.4964269642413;293.436273204749;99.469923120254
71064;15.0104826284761;29.9870699599134;24.8641854661532;79.7665170189131;114.722778122935;114.7056564833;355.556409491326;79.7252255329614
71065;15;20;20;35;25;20;80;25
71066;20.3418803418804;0;0;15.2564102564103;0;5.08547008547009;50.8547008547009;0
71067;5.07936507936508;5.07936507936508;0;10.1587301587302;35.5555555555556;5.07936507936508;45.7142857142857;20.3174603174603
71068;5.33333333333333;0;5.33333333333333;5.33333333333333;5.33333333333333;5.33333333333333;48;0
71069;4.09385125633227;19.1829406533252;74.7913229367243;103.670262897321;63.8999384183425;24.6375779430842;156.968767132339;27.3411879292808
71070;20;50;145;230;215;205;655;205
71071;5.15400678365019;19.3630268546579;0;10.0490883174168;19.4829766339362;38.5872395572281;110.80540064104;24.0025964068445
71072;0;4.96428571428571;9.92857142857142;9.92857142857142;9.92857142857142;14.8928571428571;49.6428571428571;14.8928571428571
71073;5.0499509321106;146.448577031207;141.398626099097;560.494305196295;898.891265915687;996.456652912517;1377.15183081526;583.976995766176
71074;15.165080948714;25.3687723534954;50.5681077088028;75.6502529262899;60.9875336116337;46.18326178225;125.592226113258;61.0603984742945
71075;10;20;10;25;75;95;235;80
71076;22.958209399255;825.056649848676;2360.58006095573;4786.82080718431;6561.63726968218;6019.24352434347;10778.9684430649;6213.52633061982
71077;0;30;10;30;25;70;190;50
71078;10.1948051948052;5.0974025974026;0;25.487012987013;5.0974025974026;10.1948051948052;45.8766233766234;10.1948051948052
71079;14.5869924474259;19.9309918329532;9.94658195008224;44.8745135353094;44.7999703632078;84.4745066027273;140.379962416737;54.4470214617507
71080;5;5;10;10;10;5;35;0
71081;9.91364616948161;68.8854280330708;113.029248571879;201.486921367263;299.773224473245;383.31658211333;614.289394412388;299.943256191012
71082;19.9103139013453;0;0;29.8654708520179;39.8206278026906;24.8878923766816;54.7533632286995;24.8878923766816
71084;10;30;20;40;80;45;195;40
71085;10;5;0;10;15;35;75;25
71086;4.94646680942184;14.8394004282655;29.678800856531;49.4646680942184;89.0364025695931;49.4646680942184;113.768736616702;24.7323340471092
71087;0;5.13513513513514;25.6756756756757;30.8108108108108;10.2702702702703;5.13513513513514;51.3513513513514;10.2702702702703
71088;39.4736842105263;14.8026315789474;9.86842105263158;0;24.671052631579;29.6052631578947;49.3421052631579;24.671052631579
71089;9.8828125;14.82421875;9.8828125;44.47265625;14.82421875;14.82421875;79.0625;19.765625
71090;45;115;200;500;640;505;775;405
71091;10;10;5;10;20;30;40;30
71092;43.046875;21.5234375;0;37.666015625;48.427734375;69.951171875;172.1875;48.427734375
71093;10.0325037861262;15.031233667487;45.1272224906618;50.1498212804067;70.2173684465022;105.327321503273;205.677752092306;60.1787700199096
71094;0;0;4.74452554744526;14.2335766423358;4.74452554744526;14.2335766423358;61.6788321167884;9.48905109489052
71095;5.27212628326051;10.0560396102859;25.7664881116281;50.9005235524792;57.2905596395759;41.212367766314;170.849017930466;26.3843337782536
71096;14.2227979274612;23.7046632124352;0;18.9637305699482;18.9637305699482;18.9637305699482;56.8911917098446;14.2227979274612
71097;28.424462432048;18.9496416213654;14.212231216024;33.1618728373894;28.424462432048;104.481942040929;161.071953781606;28.6833755554675
71098;15.1209677419355;5.04032258064516;20.1612903225806;15.1209677419355;30.241935483871;45.3629032258064;60.4838709677419;15.1209677419355
71099;0;15;25;30;40;15;135;35
71100;0;0;25.253807106599;20.2030456852792;30.3045685279188;15.1522842639594;65.6598984771574;5.0507614213198
71101;15;10;10;35;60;30;160;30
71102;10.1062364421062;10.2348338293277;64.3165425753102;94.5319486582667;93.6434582419376;65.7097669115543;180.96322491664;73.0461073558892
71103;48.7305037476846;9.57402623167551;10.1504157758921;23.4575290093849;23.6057457961232;19.1522026394797;65.1661064343647;23.4616791855136
71104;4.84210526315789;9.68421052631578;4.84210526315789;19.3684210526316;19.3684210526316;24.2105263157895;58.1052631578947;19.3684210526316
71105;36.4878655757154;187.646426523711;505.602945124038;880.865584084045;1032.04230802795;547.346242875791;2206.15654303527;818.731727269888
71106;10;70;100;245;315;290;1030;375
71107;4.81651376146789;4.81651376146789;14.4495412844037;43.348623853211;33.7155963302752;48.1651376146789;91.5137614678899;9.63302752293578
71108;15;0;10;45;10;20;35;5
71109;15;15;15;40;50;50;50;20
71110;15;25;20;70;85;55;145;50
71111;5.08038247289554;5.08038247289554;10.1607649457911;35.5626773102688;40.6430597831643;71.1253546205376;106.688031930806;10.1607649457911
71112;0;4.87012987012987;38.961038961039;38.961038961039;24.3506493506493;4.87012987012987;43.8311688311688;24.3506493506493
71113;0;0;10;15;5;30;20;5
71115;0;5.21052631578947;0;20.8421052631579;26.0526315789473;0;10.4210526315789;5.21052631578947
71116;14.8181818181818;0;0;14.8181818181818;14.8181818181818;24.6969696969697;49.3939393939394;14.8181818181818
71117;0;40.0450640797567;46.3345677344669;174.98165000738;181.132816266262;118.515524094324;217.616132977053;51.3785588631318
71118;20.1830818782844;130.961111556128;358.249703339549;630.492388043667;846.315914971619;585.080453817528;1860.28422127826;800.480041939187
71119;4.97746394230769;44.7971754807692;34.8422475961538;129.4140625;169.254807692308;199.119591346154;223.985877403846;124.436598557692
71120;20.0688388405943;170.585130145052;55.1893068116344;258.98558933471;396.359567101738;517.808564851015;1446.97155972046;409.694096249718
71121;0;4.97873181395429;10.2262888580337;15.2034269444939;54.5988280989427;69.5412313573211;90.7862478825864;29.7911427808439
71122;19.4973070017953;9.74865350089766;24.3716337522442;77.9892280071813;58.491921005386;82.8635547576301;97.4865350089766;43.8689407540395
71123;25.458115183246;15.2748691099476;10.1832460732984;40.7329842931937;35.6413612565445;61.0994764397905;101.832460732984;20.3664921465968
71124;24.7596153846154;0;4.95192307692308;44.5673076923077;34.6634615384616;19.8076923076923;44.5673076923077;14.8557692307692
71125;4.77272727272727;0;0;0;0;0;9.54545454545454;0
71126;10;5;80;115;50;25;125;70
71127;4.93333333333333;9.86666666666666;4.93333333333333;0;4.93333333333333;9.86666666666666;19.7333333333333;4.93333333333333
71128;5.33707865168539;0;0;10.6741573033708;26.685393258427;5.33707865168539;21.3483146067416;0
71129;10.1454545454545;15.2181818181818;0;5.07272727272727;25.3636363636363;40.5818181818182;126.818181818182;20.2909090909091
71130;5.02092050209205;15.0627615062761;15.0627615062761;10.0418410041841;25.1046025104602;45.1882845188284;65.2719665271966;30.1255230125523
71132;20.2298850574713;45.5172413793104;65.7471264367817;247.816091954023;273.103448275862;278.16091954023;637.241379310345;328.735632183908
71133;5.10797076561306;76.6195614841959;56.1876784217437;117.4833276091;153.239122968392;234.966655218201;635.545430094355;207.659693621878
71134;30.4638112104141;14.1347964631006;24.4887787639855;79.8411799458756;69.4200354040772;83.2221829006007;142.089911519043;53.6891563490046
71135;50;35;75;85;70;80;180;110
71136;9.12478512309238;4.70288006321535;10.1123942830806;36.1940915719645;17.8496590249445;27.6087362297001;77.3889451274858;23.9400594693884
71137;14.9235529726653;164.179406285573;288.666471538526;378.048488052485;601.023124216321;466.566104541955;1377.302073841;807.720335463416
71139;0;0;0;5;30;15;45;25
71140;5;0;0;5;5;5;20;5
71141;15.0487012987013;20.0649350649351;15.0487012987013;40.1298701298702;30.0974025974026;30.0974025974026;70.2272727272728;10.0324675324675
71142;30.9767441860465;10.3255813953488;10.3255813953488;15.4883720930233;10.3255813953488;15.4883720930233;67.1162790697674;10.3255813953488
71143;10.0362836720591;9.96140559227448;4.92433129121116;44.8818513251452;44.9197141155034;54.8053919873522;159.439183587494;4.99920937099583
71144;10;5;0;10;15;45;60;15
71145;0;14.9301348179096;9.89517827527934;34.5618288129332;43.7833302215178;73.9663848877781;217.773858698651;43.9164187982625
71146;5;5;30;15;50;20;55;10
71147;5;15;15;25;50;30;60;30
71148;0;14.9140973583618;9.72341739991572;79.0216659007994;94.1817846469104;178.573645724505;261.806442462353;82.6692335104473
71149;10;30;50;170;165;145;530;95
71150;25.5408817847439;90.644712652488;145.972302577456;373.074505196968;418.230495180444;455.175386554421;735.702061413938;226.952323115944
71151;0;0;5;5;15;20;10;0
71152;30.6521739130435;5.10869565217391;5.10869565217391;20.4347826086956;15.3260869565217;25.5434782608696;56.195652173913;20.4347826086956
71153;0.903463136556688;372.772851056204;908.664477929336;1935.59065219516;2480.76062216201;2413.62740085025;7210.50234002292;3593.291963636
71154;0;69.1540761262516;165.370002849456;312.944798874402;352.573565519913;319.77125264095;496.354381579218;243.32116384005
71155;73.352490421456;0;15.7183908045977;26.1973180076629;62.8735632183908;47.1551724137931;178.141762452107;57.6340996168583
71156;24.809885931559;4.96197718631179;24.809885931559;9.92395437262358;19.8479087452472;29.7718631178707;84.3536121673004;19.8479087452472
71157;10.1182494610169;91.0642451491517;35.413873113559;106.241619340677;202.364989220337;303.547483830506;662.140985624609;161.899299882678
71158;0;60.0371197989927;79.8958175533882;134.173702189854;159.649575550702;159.533313562664;616.547782927547;79.8671735528161
71159;0;5;20;25;35;10;45;25
71160;15.1592844920775;10.2032457800091;20.3344584119438;34.8506305749757;45.268915342595;35.1356689556224;81.8368653256161;10.0591940444867
71161;10.0955414012739;5.04777070063694;5.04777070063694;45.4299363057325;35.3343949044586;55.5254777070063;85.812101910828;35.3343949044586
71162;0;45;55;130;150;125;345;45
71163;0;9.77777777777778;9.77777777777778;9.77777777777778;14.6666666666667;9.77777777777778;4.88888888888889;9.77777777777778
71164;0;20;10;20;10;5;35;15
71165;21.0882060405418;31.6323090608128;5.27205151013546;31.6323090608128;36.9043605709482;31.6323090608128;184.521802854741;21.0882060405418
